name,SUM(s.population)
Canada,1017666
Malaysia,1145075
Kazakstan,1172400
Nicaragua,1195000
Armenia,1200000
Georgia,1200000
Czech Republic,1215000
Uruguay,1247000
Madagascar,1250000
Saudi Arabia,1250000
Sudan,1267077
Bulgaria,1300000
Denmark,1358540
Tanzania,1360850
Senegal,1382000
Dominican Republic,1400000
Serbia and Montenegro,1407073
Syria,1500000
Algeria,1507241
Belarus,1540000
Austria,1583000
Poland,1655000
Azerbaijan,1740000
Kenya,2000000
Hungary,2016000
Romania,2037000
Uzbekistan,2106000
France,2152423
Netherlands,2180154
Cuba,2241000
Ethiopia,2316400
North Korea,2335000
Ecuador,2500868
Burma,2513000
Singapore,2558000
Venezuela,3072135
Taiwan,4052656
Chile,4318000
Morocco,4326495
Iraq,4478000
Zaire,4655313
Spain,4671968
Italy,5429551
Bangladesh,5438000
Philippines,5674000
Thailand,5876000
Peru,6321173
Argentina,6427514
Nigeria,6949000
Ukraine,7644000
Germany,7712636
United Kingdom,7975900
Vietnam,8428104
Colombia,9642117
Australia,10283000
Egypt,10641000
Iran,12144131
Turkey,13430300
Mexico,14797459
Indonesia,16927788
South Korea,21329480
United States,22329666
Pakistan,23816000
Japan,24821000
Russia,26260000
Brazil,29825737
India,49703904
China,88580000
