Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,01 health,191,0,2600.0,2952.2052565296985,32.885124906897545,11805.56625011377,15.0,0.372597154530986,0.0,2600,2800,3000,3200,4200,6100,10000,12000,12000,12000,12000
GET,02 library -> open,588,0,2600.0,3155.9562303765747,35.184916807338595,12983.201417140663,3841.0068027210887,1.147053020231517,0.0,2600,2900,3200,3400,5200,6800,10000,12000,13000,13000,13000
GET,03 open randomized,851,0,2700.0,3241.1660621808373,64.53824997879565,18326.568957883865,3700.9318448883664,1.6601056466275868,0.0,2700,3000,3300,3500,5100,6800,11000,12000,18000,18000,18000
POST,04 relalg evaluate,721,0,2500.0,2939.060918068392,78.84249999187887,12380.61754195951,329.74063800277395,1.406505489093408,0.0,2500,2800,3000,3100,3800,6300,11000,12000,12000,12000,12000
GET,04 relalg open,730,0,2800.0,3344.2183747064732,123.98591707460582,20084.84095800668,4746.726027397261,1.4240624230765433,0.0,2800,3100,3400,3600,5400,7200,11000,12000,20000,20000,20000
POST,04 relalg preview,725,0,2500.0,3012.7434591968254,74.78666678071022,12744.955000001937,289.76689655172413,1.4143085708636902,0.0,2500,2800,3100,3200,4100,6400,11000,12000,13000,13000,13000
POST,05 sql evaluate,683,0,2600.0,3101.8539596380365,123.13216691836715,12613.345459103584,265.8155197657394,1.3323762122757248,0.0,2600,2800,3000,3200,4000,6900,11000,12000,13000,13000,13000
GET,05 sql open,688,0,2700.0,3206.036147990448,94.34025012888014,18864.79562520981,1304.8066860465117,1.3421300644885779,0.0,2700,2900,3100,3300,5300,7000,11000,12000,19000,19000,19000
POST,05 sql preview,686,0,2600.0,3053.7007633992403,162.30658302083611,12098.842334002256,84.49125364431487,1.3382285236034366,0.0,2600,2800,3000,3200,4300,6600,11000,12000,12000,12000,12000
POST,06 generic evaluate,924,0,2500.0,2978.3848933404356,28.419625014066696,12042.711083078757,1806.1536796536795,1.8025118889352412,0.0,2500,2700,2900,3100,4300,7100,11000,12000,12000,12000,12000
GET,06 generic open,926,0,2600.0,3134.8270136014644,44.16170786134899,12341.275583952665,4093.463282937365,1.8064134298203824,0.0,2600,2900,3100,3300,5000,6900,11000,12000,12000,12000,12000
POST,07 resubmit evaluate,1335,0,2500.0,3028.1340291369565,43.305166997015476,12748.594917124137,1558.0284644194758,2.6042785408317606,0.0,2500,2700,2900,3100,4300,7500,12000,12000,13000,13000,13000
GET,07 resubmit open,452,0,2600.0,3095.9787830773253,52.68595810048282,19163.39004202746,3844.2323008849557,0.8817482400419145,0.0,2700,2900,3100,3300,4300,6300,11000,12000,19000,19000,19000
GET,08 external regex,353,0,2600.0,3057.099290266,37.07483294419944,19194.809583947062,1492.14447592068,0.6886219662274243,0.0,2600,2900,3100,3400,4500,6700,9100,11000,19000,19000,19000
GET,08 external xpath,352,0,2600.0,2991.0184095543545,33.47862511873245,11882.709083147347,1902.6107954545455,0.6866711957848538,0.0,2700,2900,3100,3300,4200,5800,9300,12000,12000,12000,12000
POST,09 auth login,315,0,3400.0,4179.172986112387,1015.7947910483927,20953.370625153184,62.0,0.6144926894097413,0.0,3400,3700,4000,4200,5800,9600,12000,19000,21000,21000,21000
POST,10 negative relalg invalid evaluate,231,0,2500.0,2779.6907340845664,258.7345829233527,11865.064250072464,293.9134199134199,0.4506279722338103,0.0,2500,2700,2900,2900,3500,5200,7400,11000,12000,12000,12000
POST,10 negative sql malformed preview,235,0,2400.0,2874.342213825699,209.91708291694522,11724.20429205522,37.0,0.45843105400409273,0.0,2400,2700,2900,3100,4100,6100,9700,11000,12000,12000,12000
GET,10 negative unknown type,236,0,2600.0,2878.1882720581116,51.778415916487575,11838.77958310768,36.0,0.4603818244466633,0.0,2600,2800,3000,3200,4000,5700,7000,11000,12000,12000,12000
GET,library questions,692,0,2500.0,2729.816549566959,33.99783303029835,18139.55462514423,8737.0,1.3499331462588602,0.0,2500,2800,3000,3200,4000,5700,9900,11000,18000,18000,18000
POST,startup auth,100,0,1100.0,1614.970911219716,819.4929999299347,3155.9876250103116,62.0,0.19507704425706074,0.0,1100,1800,2700,3000,3000,3100,3200,3200,3200,3200,3200
,Aggregated,12014,0,2600.0,3074.259975719213,28.419625014066696,20953.370625153184,2254.976111203596,23.436556097043276,0.0,2600,2900,3100,3300,4400,6700,11000,12000,18000,20000,21000
